,-9,-7,-5,-3,-1,1,3,5,7,9,date,newborn,dead,WALE,11
1505,421568.0545,44299.1404,3621.813025,2082.480594,1388.884074,5115.940774,395.6390875,45.06793807,29.09793401,165.2494227,6/14/2020,479773.8677,478711.3677,8.049246072,0
1506,810728.2428,177072.1616,10487.53168,3392.486978,4554.495035,1353.666424,1310.133843,101.6918719,657.6859991,9.52759108,6/15/2020,1010530.124,1009667.624,6.137624286,0
1507,1210175.899,124474.0601,8534.017132,3268.009143,1918.507468,3082.441831,1367.564525,101.0301016,41.42912248,250.7108455,6/16/2020,1354151.169,1353213.669,4.179041108,0
1508,778943.9078,134075.4839,13753.08815,2774.504577,2938.608781,1748.139083,653.2108437,69.64059615,34.7846056,41.59431327,6/17/2020,935895.4626,935032.9626,4.495471293,0
1509,598147.5898,80095.90679,88257.077,3308.588927,2785.993706,1003.433449,911.8168124,23.41245399,196.098075,1273.557084,6/18/2020,776772.2241,776003.4741,17.54460235,0
1510,1281185.777,153379.9241,15353.84963,2176.237434,1696.327194,1109.385363,1249.011653,306.8336523,7.7318776,177.7759246,6/19/2020,1457536.604,1456642.854,3.283519628,0
1511,489490.8498,41681.64422,6276.237997,1192.350384,1037.646397,2880.961249,956.9582,148.0349513,28.8778464,212.5258379,6/20/2020,544762.3369,543906.0869,7.557743035,0
1512,421942.5795,38924.33462,5567.087332,1816.795659,2796.504712,1566.154691,1155.015666,1071.851259,54.17257527,32.89168355,6/21/2020,475839.8877,474927.3877,9.996641541,0
1513,808744.7444,128353.1829,9764.060666,5809.165682,4588.329813,2158.427491,1095.146206,151.2920553,34.74104788,1024.326135,6/22/2020,962617.1663,961723.4163,7.801369457,0
1514,1203345.778,120613.156,12373.91067,4484.383982,1681.507889,3500.541497,6158.082069,42.25433415,73.28857381,53.73807843,6/23/2020,1353314.141,1352326.641,7.043610401,0
1515,1113609.692,96256.60894,11724.18273,64265.6272,22439.29174,1507.311701,960.2915503,157.7952754,16.50343187,104.1373317,6/24/2020,1311910.192,1311041.442,13.93661408,0
1516,1064760.843,105086.0736,10070.74047,2350.006832,2648.557765,1177.705955,755.1003678,77.38789343,13.00408273,64.50007241,6/25/2020,1187885.17,1187003.92,3.353621807,0
1517,1024374.156,75655.88389,109613.2408,6502.555137,1874.132492,2855.396332,1169.216637,179.8644477,13.77148679,567.8986999,6/26/2020,1223831.116,1222806.116,12.4047161,0
1518,521230.5469,43193.65362,4233.839633,2211.111079,3636.526587,1744.641656,458.1045064,184.0054888,33.00870538,809.6205055,6/27/2020,578597.5587,577735.0587,9.887488089,0
1519,581647.5112,86563.45073,6217.184748,1741.406462,1690.713776,1038.075018,2306.135326,166.4153256,82.94163819,1109.371684,6/28/2020,683500.7059,682563.2059,11.44980124,0
1520,876671.7237,109567.0788,11910.21263,4418.317765,3466.632578,5244.556162,1224.495386,36.72481604,46.06438436,75.90836394,6/29/2020,1013567.965,1012661.715,6.396294163,0
1521,937185.1776,81388.43121,25058.2651,48354.69005,2288.59246,961.8142465,1262.882973,57.42479537,91.82441348,162.41873,6/30/2020,1097730.272,1096811.522,10.81065013,0
